time,t2m_degC,u10_ms,v10_ms,wind_speed10m_ms
2024-01-04 17:00:00,4.6512756,1.8251038,0.75645447,1.9756587
2024-01-04 18:00:00,4.311432,2.0994263,0.6011505,2.1837978
2024-01-04 19:00:00,3.8529358,2.2639008,0.4405365,2.3063648
2024-01-04 20:00:00,3.6561584,2.5886078,0.22523499,2.5983882
2024-01-04 21:00:00,3.6283264,2.8310547,-0.043029785,2.8313818
2024-01-04 22:00:00,3.6756897,2.8100433,-0.713501,2.8992114
2024-01-04 23:00:00,3.6539612,2.8617096,-1.1096191,3.0693054
2024-01-05 00:00:00,3.584381,2.7559204,-1.21138,3.010405
2024-01-05 01:00:00,3.3368225,2.9621582,-1.6398163,3.3857613
2024-01-05 02:00:00,3.431549,3.273407,-1.6767731,3.6778746
2024-01-05 03:00:00,3.2223206,3.6171722,-1.518219,3.9228718
2024-01-05 04:00:00,3.341217,3.8230896,-1.4764557,4.0982847
2024-01-05 05:00:00,3.691803,3.9785461,-1.5534058,4.271054
2024-01-05 06:00:00,3.8546448,4.163681,-1.7370758,4.511504
2024-01-05 07:00:00,3.952301,4.2335205,-1.8377686,4.615202
2024-01-05 08:00:00,4.1092834,4.241699,-2.0466614,4.7096534
2024-01-05 09:00:00,3.9515686,4.403885,-2.2158508,4.9299283
2024-01-05 10:00:00,4.1219788,4.4325104,-2.585144,5.131288
2024-01-05 11:00:00,5.072296,4.3334045,-2.4101105,4.958531
2024-01-05 12:00:00,5.941681,4.2877502,-2.8722534,5.1608763
2024-01-05 13:00:00,6.665436,4.2422485,-3.2144775,5.3225503
2024-01-05 14:00:00,6.859894,4.118927,-2.8945465,5.0342784
2024-01-05 15:00:00,6.6634827,4.2499084,-3.1289062,5.277478
2024-01-05 16:00:00,5.9654846,4.171463,-2.7140808,4.9766793
2024-01-05 17:00:00,5.0311584,4.262314,-2.4246826,4.903713
2024-01-05 18:00:00,4.6715393,4.2868958,-2.1920013,4.814805
2024-01-05 19:00:00,4.2601624,4.222458,-2.1635437,4.744478
2024-01-05 20:00:00,3.986969,4.2450256,-2.1585236,4.762296
2024-01-05 21:00:00,3.8141174,4.228363,-2.115982,4.728259
2024-01-05 22:00:00,3.3021545,4.2588043,-2.120926,4.7577033
2024-01-05 23:00:00,2.9103088,4.0523376,-2.0286255,4.5317507
2024-01-06 00:00:00,2.7745667,3.8504333,-1.7067566,4.211752
2024-01-06 01:00:00,2.4725647,3.8881226,-1.4841156,4.161742
2024-01-06 02:00:00,2.1888733,4.0361176,-1.4060822,4.2740273
2024-01-06 03:00:00,2.021637,3.937149,-1.35466,4.163682
2024-01-06 04:00:00,1.9842834,3.7973328,-1.4354553,4.05959
2024-01-06 05:00:00,1.8490295,3.591034,-1.5513916,3.9118207
2024-01-06 06:00:00,1.5704651,3.362381,-1.6696014,3.7540877
2024-01-06 07:00:00,1.5670471,3.2041473,-1.5110474,3.5425732
2024-01-06 08:00:00,1.3441467,3.1967773,-1.4476776,3.5092955
2024-01-06 09:00:00,1.3744202,3.116806,-1.452774,3.4387546
2024-01-06 10:00:00,1.6903381,3.0104828,-1.549469,3.3858323
2024-01-06 11:00:00,2.9166565,2.9531708,-1.4802856,3.303402
2024-01-06 12:00:00,4.1947327,2.6716614,-1.5196381,3.0736094
2024-01-06 13:00:00,5.2294006,2.611496,-1.58638,3.0555708
2024-01-06 14:00:00,5.736725,2.5859528,-1.7131195,3.1019237
2024-01-06 15:00:00,5.69693,2.569687,-1.6977539,3.0798798
2024-01-06 16:00:00,5.2638245,2.463211,-1.6829224,2.9832258
2024-01-06 17:00:00,3.990387,2.393692,-1.7720947,2.9782681
2024-01-06 18:00:00,3.5416565,2.1674652,-1.8525238,2.8512716
2024-01-06 19:00:00,2.841217,1.9253387,-1.8301086,2.6563559
2024-01-06 20:00:00,2.3243713,1.79039,-1.8022003,2.5403588
2024-01-06 21:00:00,1.8058167,1.8115387,-1.7133179,2.4934175
2024-01-06 22:00:00,1.5284729,1.7466583,-1.6593475,2.4092011
2024-01-06 23:00:00,1.1117249,1.501297,-1.7036133,2.2707248
2024-01-07 00:00:00,0.80874634,1.3210297,-1.6360321,2.1027887
2024-01-07 01:00:00,0.49649048,1.3891754,-1.6726685,2.174311
2024-01-07 02:00:00,0.38613892,1.2165222,-1.7407227,2.1236858
2024-01-07 03:00:00,0.4125061,0.7806244,-1.8661346,2.022828
2024-01-07 04:00:00,1.1578674,0.6095581,-1.6746063,1.7820964
2024-01-07 05:00:00,1.1210022,0.7220001,-1.4349976,1.606394
2024-01-07 06:00:00,0.690094,0.7428131,-1.2951813,1.4930726
2024-01-07 07:00:00,0.3253479,0.74098206,-1.2582855,1.4602523
2024-01-07 08:00:00,0.27407837,0.80747986,-1.0794678,1.3480632
2024-01-07 09:00:00,0.07095337,1.0033875,-0.97662354,1.400207
2024-01-07 10:00:00,0.62197876,0.76319885,-1.2543335,1.4682728
2024-01-07 11:00:00,1.6251526,0.56259155,-1.243393,1.3647473
2024-01-07 12:00:00,2.6459045,0.11817932,-1.0439758,1.0506436
2024-01-07 13:00:00,3.0416565,0.15586853,-0.7966156,0.81172127
2024-01-07 14:00:00,3.7552795,0.15681458,-1.1397552,1.1504924
2024-01-07 15:00:00,3.8282776,0.18455505,-1.1962585,1.2104112
2024-01-07 16:00:00,3.193512,0.22261047,-0.9946594,1.0192659
2024-01-07 17:00:00,1.9772034,0.31063843,-1.3983307,1.4324193
2024-01-07 18:00:00,1.70401,0.09375,-1.2359314,1.2394819
2024-01-07 19:00:00,1.6341858,-0.24055481,-1.6249847,1.6426935
2024-01-07 20:00:00,1.3470764,-0.5562744,-1.5773926,1.6726053
2024-01-07 21:00:00,0.4618225,-1.2657776,-1.2358704,1.7690587
2024-01-07 22:00:00,0.8800354,-1.9066315,0.0048065186,1.9066375
2024-01-07 23:00:00,0.9532776,-2.1763763,0.73480225,2.2970738
2024-01-08 00:00:00,1.1874084,-2.2941284,1.2098389,2.593595
2024-01-08 01:00:00,1.3329163,-2.4084015,1.2544708,2.7155285
2024-01-08 02:00:00,1.2884827,-2.2276764,1.2693024,2.563917
2024-01-08 03:00:00,1.1810608,-2.2070312,1.2110901,2.5174842
2024-01-08 04:00:00,0.7142639,-2.3059998,1.1174316,2.562477
2024-01-08 05:00:00,1.0990295,-2.7330322,0.9446564,2.8916848
2024-01-08 06:00:00,1.1273499,-3.2288208,0.9207611,3.3575416
2024-01-08 07:00:00,1.936676,-3.7095947,1.1382751,3.8803046
2024-01-08 08:00:00,2.3331604,-3.8960571,1.2983093,4.1066856
2024-01-08 09:00:00,2.184723,-3.854828,1.2760468,4.060541
2024-01-08 10:00:00,2.6888733,-3.69635,1.3914642,3.9495792
2024-01-08 11:00:00,2.9710999,-4.201599,1.1976624,4.3689623
2024-01-08 12:00:00,3.5177307,-4.4380646,0.8889313,4.526214
2024-01-08 13:00:00,3.6747131,-4.459671,0.76342773,4.524543
2024-01-08 14:00:00,3.9337463,-4.6306305,0.46318054,4.653738
2024-01-08 15:00:00,3.7884827,-4.7899475,0.14868164,4.7922544
2024-01-08 16:00:00,3.589508,-4.7135468,-0.2446289,4.7198906
2024-01-08 17:00:00,3.2001038,-5.077301,-0.46762085,5.0987897
2024-01-08 18:00:00,3.2679749,-5.5030975,-0.5631561,5.5318375
2024-01-08 19:00:00,3.4535217,-5.844391,-0.55885315,5.8710494
2024-01-08 20:00:00,3.3087463,-6.060318,-0.53907776,6.0842466
2024-01-08 21:00:00,3.2113342,-6.3255615,-0.46580505,6.342689
2024-01-08 22:00:00,3.1488342,-6.450165,0.12826538,6.45144
2024-01-08 23:00:00,3.1012268,-6.3978424,-0.08161926,6.398363
2024-01-09 00:00:00,2.9960022,-6.5787354,-0.1259613,6.579941
2024-01-09 01:00:00,3.027008,-6.8306885,-0.20002747,6.8336167
2024-01-09 02:00:00,3.1197815,-7.033722,-0.032821655,7.033798
2024-01-09 03:00:00,3.2503967,-7.1699066,-0.05984497,7.1701565
2024-01-09 04:00:00,3.2982483,-7.1950073,0.13388062,7.196253
2024-01-09 05:00:00,3.1322327,-7.100113,0.2664795,7.1051116
2024-01-09 06:00:00,3.1947327,-6.9929047,0.34031677,7.0011806
2024-01-09 07:00:00,3.2623596,-6.9135437,0.3446808,6.9221306
2024-01-09 08:00:00,3.2591858,-6.8335266,0.355484,6.842767
2024-01-09 09:00:00,3.1256409,-6.8458557,0.23796082,6.8499904
2024-01-09 10:00:00,3.3214417,-7.02565,-0.09938049,7.026353
2024-01-09 11:00:00,3.410553,-7.3361816,0.024353027,7.336222
2024-01-09 12:00:00,3.4825745,-7.168289,-0.092163086,7.168882
2024-01-09 13:00:00,3.8294983,-7.0141296,-0.39916992,7.0254784
2024-01-09 14:00:00,3.92276,-6.8512726,-0.57514954,6.8753715
2024-01-09 15:00:00,3.9637756,-6.1748657,-0.7522125,6.220514
2024-01-09 16:00:00,3.9337463,-5.608719,-1.1709137,5.729639
2024-01-09 17:00:00,3.7447815,-5.6640015,-1.5587006,5.8745604
2024-01-09 18:00:00,3.5856018,-5.936096,-1.7743378,6.1956043
2024-01-09 19:00:00,3.3053284,-5.9877014,-1.8418274,6.2645745
2024-01-09 20:00:00,3.0502014,-5.9819794,-1.6844635,6.2146196
2024-01-09 21:00:00,2.714264,-5.9604797,-1.5762024,6.165365
2024-01-09 22:00:00,2.804596,-6.009247,-1.755661,6.2604623
2024-01-09 23:00:00,2.6202698,-5.8328857,-1.5711365,6.0407805
2024-01-10 00:00:00,2.5975647,-5.7815094,-1.3588867,5.9390593
2024-01-10 01:00:00,2.611969,-5.629181,-1.4758606,5.8194366
2024-01-10 02:00:00,2.511383,-5.5309906,-1.5080719,5.7328997
2024-01-10 03:00:00,2.421051,-5.3758087,-1.6411743,5.6207447
2024-01-10 04:00:00,2.6559143,-5.350937,-1.6699066,5.605454
2024-01-10 05:00:00,2.5733948,-5.275299,-1.5426483,5.49623
